date,ABC SOL,ABC USD
2022-08-24T00:00:00.000Z,2.39,85
2022-08-25T00:00:00.000Z,2.46,86
2022-08-26T00:00:00.000Z,5.25,186
2022-08-27T00:00:00.000Z,5.5,175
2022-08-28T00:00:00.000Z,5.95,188
2022-08-29T00:00:00.000Z,5.74,176
2022-08-30T00:00:00.000Z,7.2,234
2022-08-31T00:00:00.000Z,9.89,311
2022-09-01T00:00:00.000Z,18,566
2022-09-02T00:00:00.000Z,15.69,496
2022-09-03T00:00:00.000Z,16,499
2022-09-04T00:00:00.000Z,15.5,482
2022-09-05T00:00:00.000Z,15.8,508
2022-09-06T00:00:00.000Z,19.2,619
2022-09-07T00:00:00.000Z,41,1268
2022-09-08T00:00:00.000Z,71.98,2358
2022-09-09T00:00:00.000Z,54,1815
2022-09-10T00:00:00.000Z,54.99,1909
2022-09-11T00:00:00.000Z,56.5,1986
2022-09-12T00:00:00.000Z,56.79,1982
2022-09-13T00:00:00.000Z,57,2129
2022-09-14T00:00:00.000Z,57,1884
2022-09-15T00:00:00.000Z,52.49,1788
2022-09-16T00:00:00.000Z,47.8,1580
2022-09-17T00:00:00.000Z,46,1480
2022-09-18T00:00:00.000Z,49.8,1681
2022-09-19T00:00:00.000Z,46,1430
2022-09-20T00:00:00.000Z,50,1636
2022-09-21T00:00:00.000Z,49.5,1555
2022-09-22T00:00:00.000Z,52.5,1618
2022-09-23T00:00:00.000Z,59.9,1945
2022-09-24T00:00:00.000Z,57,1922
2022-09-25T00:00:00.000Z,55.8,1870
2022-09-26T00:00:00.000Z,49.99,1616
2022-09-27T00:00:00.000Z,48.99,1658
2022-09-28T00:00:00.000Z,39.9,1307
2022-09-29T00:00:00.000Z,41,1365
2022-09-30T00:00:00.000Z,36.5,1239
2022-10-01T00:00:00.000Z,35.97,1196
2022-10-02T00:00:00.000Z,34.4,1116
2022-10-03T00:00:00.000Z,28.99,930
2022-10-04T00:00:00.000Z,27.5,907
2022-10-05T00:00:00.000Z,33.9,1157
2022-10-06T00:00:00.000Z,33.3,1135
2022-10-07T00:00:00.000Z,32.96,1099
2022-10-08T00:00:00.000Z,30,988
2022-10-09T00:00:00.000Z,29.3,955
2022-10-10T00:00:00.000Z,27,888
2022-10-11T00:00:00.000Z,29.5,943
2022-10-12T00:00:00.000Z,26.6,819
2022-10-13T00:00:00.000Z,24,747
2022-10-14T00:00:00.000Z,23.75,726
2022-10-15T00:00:00.000Z,23.75,713
2022-10-16T00:00:00.000Z,22.8,674
2022-10-17T00:00:00.000Z,23.68,714
2022-10-18T00:00:00.000Z,26.45,826
2022-10-19T00:00:00.000Z,23.79,718
2022-10-20T00:00:00.000Z,23.9,691
2022-10-21T00:00:00.000Z,23,646
2022-10-22T00:00:00.000Z,22.59,635
2022-10-23T00:00:00.000Z,23.39,655
2022-10-24T00:00:00.000Z,22.9,670
2022-10-25T00:00:00.000Z,23,650
2022-10-26T00:00:00.000Z,23.95,741
2022-10-27T00:00:00.000Z,22.99999,719
2022-10-28T00:00:00.000Z,23.33,715
2022-10-29T00:00:00.000Z,29.6,951
2022-10-30T00:00:00.000Z,28.42,689
2022-10-30T00:00:00.000Z,28.42,689
2022-10-31T00:00:00.000Z,27.5,905
2022-11-01T00:00:00.000Z,26.99999,880
2022-11-02T00:00:00.000Z,25.2,812
2022-11-03T00:00:00.000Z,25,770
2022-11-04T00:00:00.000Z,24.6,758
2022-11-05T00:00:00.000Z,23.92,808
2022-11-06T00:00:00.000Z,22.7,834
2022-11-07T00:00:00.000Z,22,721
2022-11-08T00:00:00.000Z,21.08,623
2022-11-09T00:00:00.000Z,19.5,472
2022-11-10T00:00:00.000Z,16.5,231
2022-11-11T00:00:00.000Z,22.19,396
2022-11-12T00:00:00.000Z,19.75,328
2022-11-13T00:00:00.000Z,21.8,321
2022-11-14T00:00:00.000Z,21.4,284
2022-11-15T00:00:00.000Z,30.7,433
2022-11-16T00:00:00.000Z,27.8,399
2022-11-17T00:00:00.000Z,26.69,383
2022-11-18T00:00:00.000Z,33.79,462
2022-11-19T00:00:00.000Z,39.69,528
2022-11-20T00:00:00.000Z,42,541
2022-11-21T00:00:00.000Z,44,543
2022-11-22T00:00:00.000Z,50.9,607
2022-11-23T00:00:00.000Z,44,547
2022-11-24T00:00:00.000Z,45.6,657
2022-11-25T00:00:00.000Z,50,730
2022-11-26T00:00:00.000Z,51.61,726
2022-11-27T00:00:00.000Z,49.15,696
2022-11-28T00:00:00.000Z,47.25,667
2022-11-29T00:00:00.000Z,45.19,603
2022-11-30T00:00:00.000Z,45.4,607
2022-12-01T00:00:00.000Z,44.89,635
2022-12-02T00:00:00.000Z,43.6,589
2022-12-03T00:00:00.000Z,40.49,557
2022-12-04T00:00:00.000Z,37.97,506
2022-12-05T00:00:00.000Z,38,524
2022-12-06T00:00:00.000Z,36.48,506
2022-12-07T00:00:00.000Z,39.91,571
2022-12-08T00:00:00.000Z,47.5,643
2022-12-09T00:00:00.000Z,50.19,687
2022-12-10T00:00:00.000Z,57.5,783
2022-12-11T00:00:00.000Z,55.05,748
2022-12-12T00:00:00.000Z,50.29,676
2022-12-13T00:00:00.000Z,49.889,665
2022-12-14T00:00:00.000Z,49.189,680
2022-12-15T00:00:00.000Z,51.99,736
2022-12-16T00:00:00.000Z,58,812
2022-12-17T00:00:00.000Z,61.77,758
2022-12-18T00:00:00.000Z,68,852
2022-12-19T00:00:00.000Z,70,869
2022-12-20T00:00:00.000Z,75.99,907
2022-12-21T00:00:00.000Z,73.2,899
2022-12-22T00:00:00.000Z,83.55529898,1013
2022-12-23T00:00:00.000Z,104,1227
2022-12-25T00:00:00.000Z,124.5,1428
2022-12-26T00:00:00.000Z,114.9899,1311
2022-12-27T00:00:00.000Z,139.2,1573
2022-12-28T00:00:00.000Z,128.99,1429
2022-12-29T00:00:00.000Z,119.5549,1168
2022-12-30T00:00:00.000Z,119.99,1152
2022-12-31T00:00:00.000Z,125.6067961,1242
2023-01-01T00:00:00.000Z,125.49,1250
2023-01-02T00:00:00.000Z,138.9,1385
2023-01-03T00:00:00.000Z,158.5,1786
2023-01-04T00:00:00.000Z,155,2070
2023-01-05T00:00:00.000Z,201.5620345,2712
2023-01-06T00:00:00.000Z,199.85,2686
2023-01-07T00:00:00.000Z,194.8,2635
2023-01-08T00:00:00.000Z,193,2526
2023-01-09T00:00:00.000Z,207.47,2981
2023-01-10T00:00:00.000Z,180,2934
2023-01-11T00:00:00.000Z,188,3046
2023-01-12T00:00:00.000Z,202,3326
2023-01-13T00:00:00.000Z,209.98,3489
2023-01-14T00:00:00.000Z,196.9999,3601
2023-01-15T00:00:00.000Z,183.79,4467
2023-01-16T00:00:00.000Z,172,3928
2023-01-17T00:00:00.000Z,162.5,3833
2023-01-18T00:00:00.000Z,172,3936
2023-01-19T00:00:00.000Z,192,4005
2023-01-20T00:00:00.000Z,183.99,3940
2023-01-21T00:00:00.000Z,169.89,4345
2023-01-22T00:00:00.000Z,177.5,4378
