date,DeGods SOL,DeGODS USD
2021-12-04T00:00:00.000Z,4.5,955
2021-12-05T00:00:00.000Z,5,1005
2021-12-06T00:00:00.000Z,4.6,904
2021-12-07T00:00:00.000Z,4.42,857
2021-12-08T00:00:00.000Z,4.4,838
2021-12-09T00:00:00.000Z,3.7,719
2021-12-10T00:00:00.000Z,3.95,718
2021-12-11T00:00:00.000Z,4,678
2021-12-12T00:00:00.000Z,4,687
2021-12-13T00:00:00.000Z,3.95,686
2021-12-14T00:00:00.000Z,3.95,613
2021-12-15T00:00:00.000Z,3.8,612
2021-12-16T00:00:00.000Z,4,713
2021-12-17T00:00:00.000Z,5,884
2021-12-18T00:00:00.000Z,4.5,791
2021-12-19T00:00:00.000Z,4,732
2021-12-20T00:00:00.000Z,3.78,680
2021-12-21T00:00:00.000Z,3.75,654
2021-12-22T00:00:00.000Z,3.87,697
2021-12-23T00:00:00.000Z,3.95,705
2021-12-24T00:00:00.000Z,4,762
2021-12-25T00:00:00.000Z,3.85,733
2021-12-26T00:00:00.000Z,4,773
2021-12-27T00:00:00.000Z,4.099999999,813
2021-12-28T00:00:00.000Z,3.99,782
2021-12-29T00:00:00.000Z,3.99999999,713
2021-12-30T00:00:00.000Z,3.99999999,685
2021-12-31T00:00:00.000Z,4.2,725
2022-01-01T00:00:00.000Z,4.69,798
2022-01-02T00:00:00.000Z,5.2,930
2022-01-03T00:00:00.000Z,5.5,970
2022-01-04T00:00:00.000Z,4.9,836
2022-01-05T00:00:00.000Z,4.5,756
2022-01-06T00:00:00.000Z,5.6,872
2022-01-07T00:00:00.000Z,5.3,799
2022-01-08T00:00:00.000Z,5.3,724
2022-01-09T00:00:00.000Z,5.9,840
2022-01-10T00:00:00.000Z,5.5,775
2022-01-11T00:00:00.000Z,4.9,666
2022-01-12T00:00:00.000Z,5.5,771
2022-01-13T00:00:00.000Z,6,912
2022-01-14T00:00:00.000Z,6.4,940
2022-01-15T00:00:00.000Z,6,878
2022-01-16T00:00:00.000Z,4.98,736
2022-01-17T00:00:00.000Z,5,740
2022-01-18T00:00:00.000Z,4.99,699
2022-01-19T00:00:00.000Z,5.23,741
2022-01-20T00:00:00.000Z,4.97,674
2022-01-21T00:00:00.000Z,4.75,611
2022-01-22T00:00:00.000Z,4.97,556
2022-01-23T00:00:00.000Z,4.85,458
2022-01-24T00:00:00.000Z,4.85,484
2022-01-25T00:00:00.000Z,4.84,445
2022-01-26T00:00:00.000Z,4.85,461
2022-01-27T00:00:00.000Z,6.33,584
2022-01-28T00:00:00.000Z,8.3,744
2022-01-29T00:00:00.000Z,9.5,869
2022-01-30T00:00:00.000Z,9,866
2022-01-31T00:00:00.000Z,8.45,789
2022-02-01T00:00:00.000Z,9.25,924
2022-02-02T00:00:00.000Z,9.3,1024
2022-02-03T00:00:00.000Z,7.5,764
2022-02-04T00:00:00.000Z,7.8,787
2022-02-05T00:00:00.000Z,8,900
2022-02-06T00:00:00.000Z,7.4,846
2022-02-07T00:00:00.000Z,7.8,899
2022-02-08T00:00:00.000Z,8,941
2022-02-09T00:00:00.000Z,8.5,966
2022-02-10T00:00:00.000Z,8.98,1027
2022-02-11T00:00:00.000Z,8.77,933
2022-02-12T00:00:00.000Z,9.5,916
2022-02-13T00:00:00.000Z,10,957
2022-02-14T00:00:00.000Z,11.99,1119
